ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
24,24,3,128,256,50,3,1048576,20,4,6,156.641,2870.26,2.28
24,24,3,160,1024,10,1,5242880,20,4,6,586.205,766.96,2.68
24,24,4,128,256,10,4,20971520,20,4,6,186.484,2410.93,2.69
24,24,4,160,256,30,1,20971520,20,4,6,188.041,2390.97,2.33
24,24,4,160,1024,10,2,10485760,20,4,6,720.828,623.72,2.62
24,24,5,160,256,256,2,1048576,20,4,6,233.623,1924.47,2.07
24,32,1,32,1024,50,4,52428800,20,4,6,333.484,1348.19,2.41
24,32,1,96,1024,30,4,52428800,20,4,6,351.452,1279.26,2.50
24,32,1,96,1024,256,2,52428800,20,4,6,368.399,1220.41,2.10
24,32,1,160,1024,50,1,1048576,20,4,6,334.859,1342.65,2.30
24,32,1,256,256,30,1,1048576,20,4,6,109.980,4088.02,2.41
24,32,2,192,1024,256,1,10485760,20,4,6,566.814,793.20,2.04
24,32,4,64,256,50,2,1048576,20,4,6,287.156,1565.70,2.22
24,32,4,224,1024,10,4,1048576,20,4,6,998.922,450.08,2.69
24,32,4,256,1024,50,3,20971520,20,4,6,918.565,489.46,2.29
24,32,5,96,256,10,3,2097152,20,4,6,272.882,1647.60,2.65
24,32,5,192,1024,10,4,10485760,20,4,6,1085.583,414.15,2.69
24,48,2,96,1024,10,3,52428800,20,4,6,687.606,653.86,2.65
24,48,2,192,1024,10,4,5242880,20,4,6,686.864,654.57,2.80
24,48,3,160,1024,30,1,10485760,20,4,6,890.391,504.94,2.29
24,48,3,160,1024,256,2,2097152,20,4,6,908.750,494.74,2.01
24,48,4,64,1024,50,3,1048576,20,4,6,1464.371,307.02,2.28
24,48,4,96,1024,10,2,20971520,20,4,6,1172.922,383.31,2.63
24,48,4,192,1024,30,2,1048576,20,4,6,1180.356,380.90,2.31
24,48,5,64,1024,50,4,20971520,20,4,6,1776.252,253.11,2.36
24,48,5,128,1024,50,2,1048576,20,4,6,1343.037,334.76,2.19
24,48,5,224,256,10,2,1048576,20,4,6,402.593,1116.76,2.60
24,72,1,128,256,10,3,10485760,20,4,6,145.419,3091.76,2.67
24,72,3,128,1024,10,3,10485760,20,4,6,1182.317,380.27,2.60
24,72,4,32,1024,30,3,2097152,20,4,6,1471.582,305.52,2.37
24,72,4,96,1024,10,3,52428800,20,4,6,1596.636,281.59,2.62
24,72,4,128,256,30,4,2097152,20,4,6,379.886,1183.51,2.36
24,72,4,160,256,256,4,1048576,20,4,6,393.038,1143.91,2.05
24,72,4,256,256,50,1,5242880,20,4,6,416.944,1078.32,2.23
24,72,5,32,1024,256,2,2097152,20,4,6,1810.487,248.33,2.04
24,72,5,96,256,10,4,10485760,20,4,6,488.437,920.48,2.67
24,72,5,96,1024,10,3,20971520,20,4,6,1918.426,234.35,2.62
24,72,5,96,1024,30,2,1048576,20,4,6,1921.419,233.99,2.30
32,8,1,192,256,50,4,1048576,20,4,6,95.237,4720.86,2.34
